emoji,description
🙅🏿‍♀️,"woman gesturing NO: dark skin tone. woman gesturing NO: dark skin tone. dark skin tone, hand, forbidden, gesture, woman, prohibited, no. A woman is a female human."
💂🏿‍♀️,"woman guard: dark skin tone. woman guard: dark skin tone. dark skin tone, woman, guard. A woman is a female human."
🏃‍♀️,"woman running. woman running. racing, running, woman, marathon. A woman is a female human."
🤸🏼‍♀️,"woman cartwheeling: medium-light skin tone. woman cartwheeling: medium-light skin tone. gymnastics, medium-light skin tone, woman, cartwheel. A woman is a female human."
🏌️‍♀️,"woman golfing. woman golfing. woman, golf. A woman is a female human."
0️⃣,"keycap: 0. keycap: 0. keycap. Wiktionary, the free dictionary, has entries for: aught cipher duck love nada naught nil nought o ought zero zilch zip There are several names for the number 0 in English, and concomitant names for the decades where the tens column contains the number 0."
🏃🏾‍♀️,"woman running: medium-dark skin tone. woman running: medium-dark skin tone. racing, running, medium-dark skin tone, woman, marathon. A woman is a female human."
👨🏾‍🌾,"man farmer: medium-dark skin tone. man farmer: medium-dark skin tone. farmer, gardener, medium-dark skin tone, rancher, man. Person who grows then harvests food"
👏🏿,"clapping hands: dark skin tone. clapping hands: dark skin tone. dark skin tone, clap, hand. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
👏🏾,"clapping hands: medium-dark skin tone. clapping hands: medium-dark skin tone. clap, hand, medium-dark skin tone. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
👏🏽,"clapping hands: medium skin tone. clapping hands: medium skin tone. clap, hand, medium skin tone. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
👏🏼,"clapping hands: medium-light skin tone. clapping hands: medium-light skin tone. clap, hand, medium-light skin tone. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
👏🏻,"clapping hands: light skin tone. clapping hands: light skin tone. clap, light skin tone, hand. The act of applauding; approbation and praise publicly expressed by the clapping of hands, stamping or tapping of the feet, acclamation, huzzas, or other means; marked commendation."
🚶🏻‍♀️,"woman walking: light skin tone. woman walking: light skin tone. walk, light skin tone, woman, hike. A woman is a female human."
👨🏼‍🚒,"man firefighter: medium-light skin tone. man firefighter: medium-light skin tone. firetruck, medium-light skin tone, firefighter, man. Two or more persons trained to put out fires."
🦑,"squid. squid. squid, molusc, food. Mediterranean food"
🦐,"shrimp. shrimp. small, shrimp, shellfish, food. Any of many swimming, often edible crustaceans, chiefly of the infraorder Caridea or the suborder Dendrobranchiata, with slender legs, long whiskers and a long abdomen."
🦏,"rhinoceros. rhinoceros. rhinoceros. A large herbivorous pachyderm of the family Rhinocerotidae, with thick, gray skin and one or two horns on their snouts."
🦎,"lizard. lizard. lizard, reptile. Any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
🦍,"gorilla. gorilla. gorilla. Gorillas constitute the eponymous genus Gorilla, the largest extant genus of primates by physical size."
🦌,deer. deer. deer. A female deer.
🦋,"butterfly. butterfly. pretty, insect, butterfly. Insects are a class of invertebrates within the arthropod phylum that have a chitinous exoskeleton, a three-part body, three pairs of jointed legs, compound eyes and one pair of antennae."
🦊,"fox face. fox face. fox, face. Part of the body at the front of the head"
👨🏼‍🚀,"man astronaut: medium-light skin tone. man astronaut: medium-light skin tone. rocket, medium-light skin tone, astronaut, man. Sexual maturity is the age or stage when an organism can reproduce."
🦉,"owl. owl. wise, owl, bird. Ability to apply knowledge or experience or understanding or common sense and insight"
🦈,"shark. shark. shark, fish. Superorder of fish"
🦇,"bat. bat. bat, vampire. Immortal being which drinks the blood of mortals to survive."
🦆,"duck. duck. duck, bird. Warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
🦅,"eagle. eagle. eagle, bird. Warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
🦄,"unicorn face. unicorn face. face, unicorn. Part of the body at the front of the head"
